#    n1        m1        n2        m2     count        mJ         sum-1d0               T
      0        -3         0         0         4        -3      0.2220E-15       0.000    
      0        -2         0        -1         4        -3      0.2220E-15       0.000    
      0        -2         0         1         6        -1       0.000           0.000    
      0        -1         0        -2         4        -3       0.000           0.000    
      0        -1         1         0         6        -1       0.000           0.000    
      1        -1         0         0         6        -1      0.4441E-15       0.000    
      0        -1         0         2         6         1     -0.2220E-15       0.000    
      0         0         0        -3         4        -3     -0.4441E-15       0.000    
      0         0         1        -1         6        -1     -0.4441E-15       0.000    
      1         0         0        -1         6        -1      0.4441E-15       0.000    
      0         0         1         1         6         1     -0.4441E-15       0.000    
      1         0         0         1         6         1      0.4441E-15       0.000    
      0         0         0         3         4         3     -0.4441E-15       0.000    
      0         1         0        -2         6        -1     -0.2220E-15       0.000    
      0         1         1         0         6         1       0.000           0.000    
      1         1         0         0         6         1      0.4441E-15       0.000    
      0         1         0         2         4         3       0.000           0.000    
      0         2         0        -1         6         1       0.000           0.000    
      0         2         0         1         4         3      0.2220E-15       0.000    
      0         3         0         0         4         3      0.2220E-15       0.000    
