#       Nmax         dim                    r                    timing                      deviation
           1           8   1.0000000000000000        0.0000000000000000       1.67849944170063025E-016
           2          34   1.0000000000000000        0.0000000000000000       1.97092423403731795E-016
           4         259   1.0000000000000000        0.0000000000000000       2.16598837156835667E-016
           8        3333   1.0000000000000000       1.60000000000000003E-002  2.58917137211450012E-016
          16       62985   1.0000000000000000       0.47602899999999998       3.43464402531156318E-016
          20      171787   1.0000000000000000        2.7361710000000001       8.88854820021338054E-016
          24      396045   1.0000000000000000        12.788798999999999       2.17437318729688339E-015
          28      809999   1.0000000000000000        51.287205000000000       6.12862719503557375E-015
          32     1514513   1.0000000000000000        167.74648300000001       1.96487384201629536E-014
          36     2641171   1.0000000000000000        504.09550300000001       5.64444005790810561E-014
          40     4356373   1.0000000000000000        1378.7861680000001       1.55470807224930250E-013
          50    12673466   1.0000000000000000        12154.315596000000       2.65870595422920380E-012
          16       62985   1.0000000000000000       0.48002999999999996       3.43464402531156318E-016
          24      396045   1.0000000000000000        12.744796000000001       2.17437318729688339E-015
          24      396045   1.0000000000000000        12.692793000000000       2.17437318729688339E-015
