#       Nmax         dim       ncore                    r                tot_timing                     wtime                         stddev                    maxdev
           4         259           8   1.0000000000000000       2.00009999999999979E-002  3.29599622637033463E-003  2.16598837156835667E-016  4.21884749357559485E-015
           6        1092           8   1.0000000000000000       1.20000000000000002E-002  1.73194706439971924E-003  2.25076760858793812E-016  1.07691633388640184E-014
           8        3333           8   1.0000000000000000       6.40039999999999915E-002  1.13386018201708794E-002  2.58917137211450012E-016  1.48769885299770976E-014
          12       17927           8   1.0000000000000000       0.11200700000000000       3.03146205842494965E-002  2.98144969962441880E-016  3.68594044175551971E-014
          16       62985           8   1.0000000000000000       0.58003600000000000       0.18780737183988094       3.43464402531156318E-016  7.94919685631612083E-014
          24      396045           8   1.0000000000000000        13.596849000000001        5.4079129835590720       2.17437318729688339E-015  1.75981451633333563E-012
          32     1514513           8   1.0000000000000000        179.47521499999999        72.983405956067145       1.96487384201629536E-014  3.09624548222586782E-011
          40     4356373           9   1.0000000000000000        1525.8233580000001        515.55279017798603       1.55470807224930250E-013  4.02227140483546464E-010
          48    10416665           8   1.0000000000000000        8647.7564500000008        3577.4609086280689       1.87813778129963330E-012  7.09839265145006948E-009
          56    21878557           8   1.0000000000000000        39875.488061999997        16538.695005170070       2.39412102216904989E-011  1.08777556850903068E-007
