#    n1        m1        n2        m2     count        mJ       sum-1               T
      0        -4         0         0         5        -4      0.4441E-15       0.000    
      0        -3         0        -1        10        -4      0.8882E-15       0.000    
      0        -3         0         1        18        -2      0.4441E-15       0.000    
      0        -2         0        -2        23        -4       0.000           0.000    
      0        -2         1         0        31        -2      0.4441E-15       0.000    
      1        -2         0         0        39        -2      0.6661E-15       0.000    
      0        -2         0         2        48         0       0.000           0.000    
      0        -1         0        -3        53        -4       0.000           0.000    
      0        -1         1        -1        61        -2     -0.2220E-15       0.000    
      1        -1         0        -1        69        -2      0.8882E-15       0.000    
      0        -1         1         1        78         0     -0.2220E-15       0.000    
      1        -1         0         1        87         0      0.4441E-15       0.000    
      0        -1         0         3        95         2     -0.5551E-15       0.000    
      0         0         0        -4       100        -4     -0.1110E-14       0.000    
      0         0         1        -2       108        -2     -0.8882E-15       0.000    
      1         0         0        -2       116        -2      0.4441E-15       0.000    
      0         0         2         0       125         0     -0.8882E-15       0.000    
      1         0         1         0       134         0       0.000           0.000    
      2         0         0         0       143         0      0.6661E-15       0.000    
      0         0         1         2       151         2     -0.8882E-15       0.000    
      1         0         0         2       159         2      0.4441E-15       0.000    
      0         0         0         4       164         4     -0.1110E-14       0.000    
      0         1         0        -3       172        -2     -0.5551E-15       0.000    
      0         1         1        -1       181         0     -0.2220E-15       0.000    
      1         1         0        -1       190         0      0.4441E-15       0.000    
      0         1         1         1       198         2     -0.2220E-15       0.000    
      1         1         0         1       206         2      0.8882E-15       0.000    
      0         1         0         3       211         4       0.000           0.000    
      0         2         0        -2       220         0       0.000           0.000    
      0         2         1         0       228         2      0.4441E-15       0.000    
      1         2         0         0       236         2      0.6661E-15       0.000    
      0         2         0         2       241         4       0.000           0.000    
      0         3         0        -1       249         2      0.4441E-15       0.000    
      0         3         0         1       254         4      0.8882E-15       0.000    
      0         4         0         0       259         4      0.4441E-15       0.000    
